소재지지번주소,위도,경도,cctvid
경기도 의정부시 용현동 391-2,37.73701466,127.0772337,27732
경기도 여주시 가업동 271,37.27757824,127.6138951,23150
경기도 여주시 교동 73-3,37.27539074,127.6374984,23218
경기도 수원시 장안구 송죽동 454-3,37.30356844,127.0026258,13029
경기도 의정부시 호원동 443,37.71762695,127.0480248,28171
경기도 평택시 가재동 593-10,37.04076341,127.0859255,31202
경기도 남양주시 진접읍 금곡리 1077번지,37.71724426,127.193423,6419
경기도 파주시 마정리 418-6,37.89443658,126.7603728,30319
경기도 화성시 양감면 용소리 630-3,37.08057206,126.988279,37100
경기도 광명시 광명동 158-103번지,37.48078313,126.8544743,1931
경기도 안산시 상록구 월피동 505-6,37.33448197,126.8413018,17236
경기도 수원시 팔달구 화서동 679-8,37.2864871,126.9899114,14574
경기도 안성시 서운면 산평리 260-3,36.91506422,127.2612089,18456
경기도 수원시 권선구 서둔동 17-679,37.26709152,126.9925573,11478
경기도 양평군 양동면 쌍학리 873-8답,37.40613246,127.7544622,21857
경기도 양주시 광사동 659,37.793075,127.082424,20633
경기도 수원시 팔달구 화서동 220-52,37.27903747,126.9931962,14529
경기도 파주시 동패동 1704-1,37.72203501,126.7174603,30243
경기도 수원시 팔달구 지동 309-18,37.2786144,127.0214361,14422
경기도 용인시 기흥구 중동 1074 광림교회어린이집,37.2630504,127.1569731,25253
경기도 평택시 동삭동 605-1,37.0125469,127.1029738,31575
경기도 화성시 향남읍 하길리 1508,37.11156332,126.9127182,38729
"경기도 용인시 처인구 이동읍 천리 134-5, 타운하우스 3거리(131-15대)",37.189198,127.20725,26321
경기도 수원시 권선구 서둔동 237-1,37.27514948,126.9799828,11488
경기도 용인시 수지구 죽전동 1427(죽전지하차도),37.324496,127.10918,25661
경기도 의정부시 가능동 41-5,37.75059164,127.0430383,27072
경기도 화성시 우정읍 조암리 146-2,37.09103638,126.8184977,37422
경기도 화성시 장안면 사곡리 665-6,37.05612085,126.7968616,37644
경기도 화성시 영천동 411-3,37.20765871,127.0944667,37148
경기도 안성시 당왕동 585(안성의료원 앞 횡단보도),37.0173058,127.2602972,17976
경기도 파주시  파주읍 연풍리 389-5,37.82844535,126.833898,29935
경기도 남양주시 화도읍 묵현리 173-10번지,37.66602645,127.2903217,6900
경기도 평택시 현화리 857-1,36.98250811,126.927609,33279
경기도 군포시 대야미동 79,37.33386458,126.9159683,4149
경기도 의왕시 내손동 661-2번지,37.39212369,126.9840761,26512
경기도 시흥시 미산동 93-1,37.4219929,126.7963831,14882
경기도 성남시 수정구 수진1동 1272번지,37.439021,127.133191,10241
경기도 의정부시 호원동 산 81-2 톨게이트북측,37.71609578,127.037383,28200
경기도 시흥시 거모동 1766-4,37.3418602,126.7880261,14683
경기도 광명시 광명동 96-11번지 대우아트빌라,37.4834796,126.8547339,2112
경기도 화성시 영천동 750-9,37.2029483,127.1258587,37229
경기도 김포시 풍무동 1-72,37.61187,126.7199928,5526
경기도 동두천시 생연동 783번지,37.89747767,127.0486842,7303
경기도 수원시 팔달구 우만동 51-7,37.27829035,127.0397345,14172
경기도 군포시 당정동 976-1,37.34908635,126.9570726,4094
경기도 남양주시 오남읍 오남리 6,37.69691173,127.2232256,6120
경기도 용인시 기흥구 서천동 712 서천생태공원,37.2387521,127.0678839,25055
경기도 평택시 수월암리 147,37.12167297,127.0448383,32238
경기도 남양주시 진접읍 금곡리 822-7,37.71399078,127.2100523,6443
경기도 안산시 단원구 와동 707-10,37.33548625,126.8307269,16069
경기도 양평군 양평읍 양근리 146-3번지,37.49099308,127.4927987,22328
경기도 화성시 서신면 백미리 491-2,37.14321521,126.6833216,36342
경기도 이천시 호법면 후안리 253-7번지,37.222579,127.4269895,29865
경기도 파주시 위전리604-2,37.79622823,126.7898393,31037
경기도 안성시 원곡면 칠곡리 921(원곡물류단지근린공원 산책로),37.04666358,127.1630411,18842
경기도 평택시 장당동 474-4,37.0508188,127.0551227,32784
경기도 남양주시 화도읍 마석우리 117-1,37.65314015,127.3160749,6840
경기도 양평군 양동면 삼산리 산95-1,37.37186894,127.7721873,21831
경기도 파주시 마지1리 63-89,37.9546201,126.9193629,30326
경기도 화성시 우정읍 화산리 668-4,37.06222992,126.7916731,37545
경기도 안성시 죽산면 매산리 478-7,37.09734298,127.4348882,19033
경기도 부천시 역곡동 27,37.48478423,126.8035291,8688
경기도 수원시 팔달구 매산로3가 105-1,37.266381,127.007878,14019
경기도 오산시 금암동 497,37.178556,127.051369,24250
